Org1,Org2,Edu1,Edu2,Edu3,Skill1,Skill2,Skill3,Skill4,Skill5,Skill6,Skill7,Skill8
Software Engineering,Computer Science,Computer Science,Other,Other,Big Data,Data Structures and Algorithms,Software Engineering,Software Engineering,Mathematics of computing,Software Engineering,Software Engineering,Database
Software Engineering,Software Engineering,Computer Science,Computer Science,Mathematics of computing,Software Engineering,Software Engineering,Cloud Computing,Software Engineering,Software Engineering,Software Engineering,Software Engineering,Software Engineering
Data Sience,Data Sience,Computer Science,Other,Other,Software Engineering,Software Engineering,Artificial Intelligence,Computer Science,Software Engineering,Software Engineering,Data Sience,Software Engineering
Software Engineering,Software Engineering,Computer Science,Mathematics of computing,Other,Software Engineering,Software Engineering,Software Engineering,Software Engineering,Software Engineering,Software Engineering,Database,Software Engineering
Software Engineering,Business System Analysis,Computer Science,Other,Other,Software Engineering,Software Engineering,Software Engineering,Database,Database,Other,Software Engineering,Other
Software Engineering,Software Engineering,Other,Other,Other,Software Engineering,Software Engineering,Data Structures and Algorithms,Software Engineering,Software Engineering,Software Engineering,Other,Other
Software Engineering,Software Engineering,Other,Computer Science,Other,Software Engineering,Database,Software Engineering,Software Engineering,Software Engineering,Software Engineering,Software Engineering,Software Engineering
Other,Other,Computer Science,Other,Other,Other,Management,Software Engineering,Software Engineering,Software Engineering,Software Engineering,Other,Software Engineering
Other,Other,Mathematics of computing,Artificial Intelligence,Other,Artificial Intelligence,Software Engineering,Other,Mathematics of computing,Data Sience,Artificial Intelligence,Software Engineering,Database
Software Engineering,Software Engineering,Computer Science,Other,Other,Software Engineering,Software Engineering,Software Engineering,Software Engineering,Software Engineering,Software Engineering,Database,Software Engineering
Other,Other,Other,Computer Science,Computer Science,Software Engineering,Software Engineering,Software Engineering,Artificial Intelligence,Software Engineering,Software organization & Operating Systems,Software Engineering,Software organization & Operating Systems
Software Engineering,Software Engineering,Computer Hardware,Other,Other,Database,Software Engineering,Software Engineering,Software Engineering,Software Engineering,Software Engineering,Software Engineering,Other
Software Engineering,Business System Analysis,Computer Science,Mathematics of computing,Other,Other,Other,Software Engineering,Other,Other,Other,Other,Other
Software Engineering,Software Engineering,Computer Science,Other,Other,Other,Other,Other,Software Engineering,Other,Other,Other,Other
Software Engineering,Artificial Intelligence,Artificial Intelligence,Artificial Intelligence,Artificial Intelligence,Artificial Intelligence,Artificial Intelligence,Software Engineering,Software Engineering,Software Engineering,Software Engineering,Software Engineering,Software Engineering
Communication and Networks,Communication and Networks,Computer Science,Mathematics of computing,Other,Software Engineering,Software Engineering,Data Structures and Algorithms,Software Engineering,Management,Data Structures and Algorithms,Computer Science,Management
Software Engineering,Software Engineering,Computer Science,Other,Other,Data Structures and Algorithms,Software Engineering,Software Engineering,Software Engineering,Software Engineering,Software Engineering,Software Engineering,Database
Software Engineering,Software Engineering,Other,Computer Science,Mathematics of computing,Software Engineering,Software Engineering,Data Structures and Algorithms,Software Engineering,Data Structures and Algorithms,Artificial Intelligence,Database,Software Engineering
Business System Analysis,Business System Analysis,Computer Science,Computer Science,Software Engineering,Software Engineering,Database,Software Engineering,Artificial Intelligence,Data Structures and Algorithms,Software Engineering,Software Engineering,Software Engineering
Marketing,Marketing,Other,Other,Marketing,Other,Other,Other,Other,Other,"Multimedia, Animation and Graphic Design",Other,Other
Software Engineering,Software Engineering,Cyber & Information Security,Information Technology,Other,Software organization & Operating Systems,Cyber & Information Security,Marketing,Marketing,Software Engineering,Software Engineering,Database,Software Engineering
Artificial Intelligence,Artificial Intelligence,Computer Science,Other,Software Engineering,Database,Software Engineering,Software Engineering,Software Engineering,Software Engineering,Software Engineering,Software Engineering,Management
Computer Science,Computer Science,Computer Science,Computer Science,Other,Software Engineering,Software Engineering,Computer Science,Data Structures and Algorithms,Software Engineering,Software Engineering,Software Engineering,Software Engineering
Management,Software Engineering,Information System,Computer Science,Mathematics of computing,Software Engineering,Other,Software Engineering,Data Structures and Algorithms,Big Data,Software Engineering,Software organization & Operating Systems,Software organization & Operating Systems
Software Engineering,Software Engineering,Computer Science,Mathematics of computing,Other,Software Engineering,Database,Data Structures and Algorithms,Software Engineering,Software Engineering,Software Engineering,Software Engineering,Software Engineering
Other,Other,Computer Science,Computer Science,Other,Software Engineering,Database,Data Structures and Algorithms,Mathematics of computing,Software Engineering,Software Engineering,Software Engineering,Software Engineering
Software Engineering,Software Engineering,Computer Science,Computer Science,Mathematics of computing,Software Engineering,Software Engineering,Artificial Intelligence,Software Engineering,Software Engineering,Software Engineering,"Multimedia, Animation and Graphic Design",Other
Software Engineering,Computer Hardware,System/Infrastructure integration &  Administration,Computer Hardware,Other,Other,Software Engineering,Other,Other,Software Engineering,Software Engineering,Database,Other
Software Engineering,Other,Computer Science,Mathematics of computing,Other,Software Engineering,Software Engineering,Software Engineering,Database,Software Engineering,Other,Other,Other
Data Sience,Software Engineering,Computer Science,Information Technology,Other,Data Sience,Software Engineering,Software Engineering,Software Engineering,Management,Software Engineering,Software Engineering,Concurrent computing
Information Technology,Information Technology,Cyber & Information Security,Software Engineering,Other,Cyber & Information Security,Software Engineering,Software Engineering,Software Engineering,Business System Analysis,Database,Database,Software Engineering
Software Engineering,Other,Artificial Intelligence,Computer Science,Other,Software Engineering,Other,Data Structures and Algorithms,Software Engineering,Software Engineering,Other,Software Engineering,Software organization & Operating Systems
Management,Management,E-Governance,Other,Computer Science,Management,System/Infrastructure integration &  Administration,Management,Software Engineering,Information Technology,Applied computing,Software Engineering,Management
Other,Other,Information Technology,Cyber & Information Security,Computer Science,Other,Software Engineering,Software Engineering,Communication and Networks,Communication and Networks,Computer Science,Software Engineering,Database
Other,Other,Other,Management,Other,Management,Database,Cyber & Information Security,Database,Software organization & Operating Systems,Software Engineering,Other,Other
Data Sience,Data Sience,System/Infrastructure integration &  Administration,Computer Hardware,Other,Other,Software Engineering,Artificial Intelligence,Software Engineering,Software Engineering,Artificial Intelligence,Communication and Networks,Communication and Networks
Software Engineering,Software Engineering,Communication and Networks,Computer Science,Other,Other,Software Engineering,Software Engineering,Software Engineering,Data Structures and Algorithms,Software Engineering,Software organization & Operating Systems,Software Engineering
Marketing,Software Engineering,Information Technology,Other,Other,Other,Other,Management,Software Engineering,Other,Business System Analysis,Other,Software Engineering
Software Engineering,Data Sience,Data Sience,Mathematics of computing,Information Technology,Artificial Intelligence,Business System Analysis,Data Sience,Big Data,Software Engineering,Business System Analysis,Database,Database
Business System Analysis,Other,Other,Bio-informatics,Other,Other,Other,Software Engineering,Software Engineering,Database,Software Engineering,Software Engineering,Data Structures and Algorithms
Management,Business System Analysis,Management,Other,Other,Business System Analysis,Management,Management,Management,Marketing,Management,Applied computing,Business System Analysis
Management,Management,Computer Science,Management,Human computer interaction,Business System Analysis,Management,Management,System/Infrastructure integration &  Administration,Information Technology,Database,Management,Data Sience
Business System Analysis,Business System Analysis,Information System,Management,Other,Other,Database,Business System Analysis,Software Engineering,Management,Database,Human computer interaction,Management
Information Technology,Other,Information Technology,Communication and Networks,Communication and Networks,Management,Other,Management,Other,Other,Other,Other,Other
Marketing,Management,Other,Other,Software Engineering,Management,Management,Management,Business System Analysis,Business System Analysis,Business System Analysis,Business System Analysis,Management
Business System Analysis,Marketing,Information System,Management,Management,Management,Marketing,Business System Analysis,Management,Business System Analysis,Data Sience,Cloud Computing,Business System Analysis
Other,Other,Other,Other,Marketing,Marketing,Other,Marketing,Other,Marketing,Marketing,Management,Other
Other,Other,Other,Other,Other,Management,Marketing,Other,Other,Other,Other,Other,Other
Other,Other,Bio-informatics,Information Technology,Bio-informatics,Other,Software Engineering,Management,Software Engineering,Other,Software Engineering,Management,Other
Other,Management,Artificial Intelligence,Computer Hardware,Other,Management,Management,Artificial Intelligence,Software Engineering,Software Engineering,Software Engineering,Computer Hardware,Artificial Intelligence
Software Engineering,Other,Computer Science,Other,Other,Other,Other,Mathematics of computing,Software Engineering,Other,Other,Mathematics of computing,Other
Other,Other,Computer Hardware,Other,Other,Other,Software Engineering,Software Engineering,Computer Hardware,Software organization & Operating Systems,Software Engineering,Other,Communication and Networks
Software Engineering,Computer Hardware,Computer Hardware,Mathematics of computing,Other,Other,Software Engineering,Other,Database,Software organization & Operating Systems,Other,Other,Other
Other,Other,Software Engineering,Other,Other,Software Engineering,Database,Software Engineering,Software Engineering,Software Engineering,Database,Software Engineering,Software Engineering
Computer Hardware,Computer Hardware,Computer Hardware,Mathematics of computing,Other,Other,Other,Data Structures and Algorithms,Computer Hardware,Other,Computer Hardware,Other,Other
Software Engineering,Software Engineering,Software Engineering,Software Engineering,Software Engineering,Software Engineering,Database,Software Engineering,Software Engineering,Software Engineering,Database,Software Engineering,Other
Business System Analysis,Quality Assurance,Information Technology,Information Technology,Information Technology,Software Engineering,Software Engineering,Management,Computer Hardware,Software Engineering,Software Engineering,Software Engineering,Software Engineering
Other,Other,Computer Science,Mathematics of computing,Other,Software Engineering,Software Engineering,Data Structures and Algorithms,Cyber & Information Security,Software Engineering,Software Engineering,Software organization & Operating Systems,Other
Other,Other,Computer Science,Computer Science,Computer Science,Other,Software Engineering,Other,Management,Other,"Multimedia, Animation and Graphic Design",Software Engineering,Other
Software Engineering,Software Engineering,Computer Science,Information System,Other,Software Engineering,Software Engineering,Software Engineering,Software Engineering,Software Engineering,Business System Analysis,Software Engineering,Database
Bio-informatics,Software Engineering,Information Technology,Other,Other,Other,Software Engineering,Software organization & Operating Systems,Communication and Networks,Software Engineering,Software Engineering,Database,Software Engineering
Software Engineering,Software Engineering,Other,Computer Science,Other,Software Engineering,Software Engineering,Computer Hardware,Software Engineering,Software Engineering,Software Engineering,Software Engineering,Software Engineering
